mean,std,min,max,range,p5,p95,dynamic_range,domain,label,condition,full_condition,file_idx,file_path
0.19206441938877106,0.044893402606248856,0.0885089561343193,0.4307534396648407,0.3422444760799408,0.13232430815696716,0.27712738513946533,0.14480307698249817,domain_C,fault,cold,fault_cold,0,datasets/HDMAP/1000_tiff_minmax/domain_C/test/fault/000000.tiff
0.2441505491733551,0.06584323942661285,0.10675466805696487,0.744573175907135,0.6378185153007507,0.16169027984142303,0.3635421693325043,0.20185188949108124,domain_C,fault,cold,fault_cold,1,datasets/HDMAP/1000_tiff_minmax/domain_C/test/fault/000001.tiff
0.22478054463863373,0.058696504682302475,0.11042559891939163,0.5552576184272766,0.4448320269584656,0.15018734335899353,0.3337377607822418,0.1835504174232483,domain_C,fault,cold,fault_cold,2,datasets/HDMAP/1000_tiff_minmax/domain_C/test/fault/000002.tiff
0.1998591125011444,0.05198695883154869,0.09386946260929108,0.5240077376365662,0.4301382899284363,0.13026700913906097,0.2954564392566681,0.16518943011760712,domain_C,fault,cold,fault_cold,3,datasets/HDMAP/1000_tiff_minmax/domain_C/test/fault/000003.tiff
0.2284097969532013,0.06364138424396515,0.10493596643209457,0.8500367999076843,0.7451008558273315,0.14798612892627716,0.347872257232666,0.19988612830638885,domain_C,fault,cold,fault_cold,4,datasets/HDMAP/1000_tiff_minmax/domain_C/test/fault/000004.tiff
0.21274244785308838,0.06112965941429138,0.09829098731279373,0.6516649127006531,0.5533739328384399,0.13756193220615387,0.3310878872871399,0.19352595508098602,domain_C,fault,cold,fault_cold,5,datasets/HDMAP/1000_tiff_minmax/domain_C/test/fault/000005.tiff
0.2055358737707138,0.04765655845403671,0.09833717346191406,0.48771223425865173,0.38937506079673767,0.14235343039035797,0.2950216233730316,0.15266819298267365,domain_C,fault,cold,fault_cold,6,datasets/HDMAP/1000_tiff_minmax/domain_C/test/fault/000006.tiff
0.2269321084022522,0.05929866433143616,0.09907837212085724,0.728137731552124,0.629059374332428,0.14792625606060028,0.3336144685745239,0.18568821251392365,domain_C,fault,cold,fault_cold,7,datasets/HDMAP/1000_tiff_minmax/domain_C/test/fault/000007.tiff
0.20575357973575592,0.04635155200958252,0.1062760278582573,0.45603784918785095,0.34976181387901306,0.14115408062934875,0.29147034883499146,0.1503162682056427,domain_C,fault,cold,fault_cold,8,datasets/HDMAP/1000_tiff_minmax/domain_C/test/fault/000008.tiff
0.20476286113262177,0.05124863237142563,0.09194386750459671,0.5220815539360046,0.4301376938819885,0.13701483607292175,0.3023585081100464,0.16534367203712463,domain_C,fault,cold,fault_cold,9,datasets/HDMAP/1000_tiff_minmax/domain_C/test/fault/000009.tiff
